host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
f,Glen Eira,Australia,-37.88620694,145.066779,Private room,2,1.0,1.0,1.0,55,365,6,97.0,f,1
f,Kingston,Australia,-38.02186772,145.0999792,Entire home/apt,7,2.0,4.0,4.0,161,2,8,100.0,f,1
t,Melbourne,Australia,-37.81032268,144.9624529,Entire home/apt,6,2.0,2.0,2.0,180,2,115,96.0,t,4
f,Melbourne,Australia,-37.79813004,144.9655455,Private room,2,1.0,1.0,1.0,75,1,7,94.0,t,1
f,Melbourne,Australia,-37.81727834,144.9557977,Entire home/apt,8,2.0,2.0,4.0,190,2,16,88.0,t,13
f,Melbourne,Australia,-37.81459164,144.9519739,Entire home/apt,4,1.0,0.0,2.0,96,1,36,90.0,t,25
f,Stonnington,Australia,-37.83831318,144.9992158,Private room,1,1.0,1.0,1.0,97,1,1,100.0,f,1
f,Melbourne,Australia,-37.80925571,144.9570265,Entire home/apt,4,1.0,2.0,2.0,144,5,2,100.0,t,87
f,Melbourne,Australia,-37.82191286,144.9656188,Entire home/apt,7,1.0,2.0,4.0,324,2,54,97.0,t,5
f,Port Phillip,Australia,-37.87177464,144.996155,Entire home/apt,6,1.5,2.0,5.0,251,2,8,100.0,f,33
f,Melbourne,Australia,-37.81969513,144.9431882,Entire home/apt,6,2.0,2.0,3.0,130,1,3,93.0,t,14
f,Melbourne,Australia,-37.81351028,144.9546317,Shared room,1,1.0,1.0,8.0,30,1,1,100.0,t,8
f,Melbourne,Australia,-37.8077444,144.9596384,Entire home/apt,3,1.0,1.0,2.0,125,1,35,93.0,f,5
f,Maroondah,Australia,-37.81925107,145.2417152,Private room,2,1.0,3.0,1.0,37,3,4,80.0,f,4
f,Stonnington,Australia,-37.88276231,145.0880082,Entire home/apt,2,1.0,0.0,1.0,78,1,1,80.0,f,5
f,Port Phillip,Australia,-37.86741483,144.9954458,Entire home/apt,4,1.0,2.0,2.0,119,2,6,100.0,f,1
f,Melbourne,Australia,-37.80903191,144.966356,Private room,2,1.0,1.0,1.0,65,4,2,90.0,t,1
f,Monash,Australia,-37.89887068,145.1566239,Private room,1,1.0,1.0,1.0,25,1,73,94.0,t,11
f,Melbourne,Australia,-37.80700542,144.959535,Private room,1,1.0,1.0,1.0,35,4,84,94.0,t,3
t,Melton,Australia,-37.71360646,144.5884371,Private room,2,1.0,1.0,1.0,46,1,45,96.0,f,2
f,Yarra,Australia,-37.79634987,144.977171,Entire home/apt,3,1.0,2.0,2.0,150,2,2,100.0,f,1
f,Port Phillip,Australia,-37.85729636,144.9836658,Private room,4,1.0,0.0,3.0,190,1,6,83.0,f,4
t,Port Phillip,Australia,-37.86961668,144.9822926,Private room,2,1.0,1.0,1.0,65,3,66,99.0,f,1
t,Melbourne,Australia,-37.8093959,144.9865933,Entire home/apt,3,1.0,1.0,1.0,120,3,179,97.0,f,1
f,Monash,Australia,-37.86816851,145.1432013,Private room,2,1.0,1.0,2.0,71,1,4,95.0,t,3
t,Melbourne,Australia,-37.82718875,144.9564579,Entire home/apt,6,2.0,2.0,4.0,100,1,4,100.0,t,7
f,Melbourne,Australia,-37.81887829,144.9551795,Entire home/apt,11,1.0,2.0,6.0,127,1,11,76.0,t,7
f,Boroondara,Australia,-37.80887247,145.0143336,Entire home/apt,2,1.0,1.0,1.0,96,2,39,93.0,f,1
f,Port Phillip,Australia,-37.85767932,144.982687,Entire home/apt,3,1.0,0.0,1.0,80,4,2,20.0,t,1
t,Yarra Ranges,Australia,-37.8163528,145.5655328,Entire home/apt,4,1.0,3.0,3.0,239,2,14,100.0,f,12
f,Melbourne,Australia,-37.81372258,144.947546,Entire home/apt,2,1.0,1.0,1.0,144,1,1,60.0,t,31
t,Port Phillip,Australia,-37.84456685,144.9494871,Entire home/apt,4,2.0,2.0,2.0,295,4,38,100.0,f,1
f,Moreland,Australia,-37.77116384,144.9621336,Entire home/apt,2,1.0,1.0,1.0,80,2,73,98.0,f,11
f,Moreland,Australia,-37.72982054,144.9610432,Entire home/apt,6,1.0,2.0,4.0,109,3,26,97.0,t,1
f,Whitehorse,Australia,-37.81039664,145.135748,Entire home/apt,6,2.5,3.0,3.0,145,3,2,100.0,f,5
f,Melbourne,Australia,-37.81555945,144.9531491,Entire home/apt,4,1.0,2.0,2.0,150,1,11,95.0,t,3
t,Frankston,Australia,-38.12742172,145.1278593,Entire home/apt,4,1.5,2.0,2.0,120,1,9,98.0,t,3
f,Port Phillip,Australia,-37.85751717,144.9878196,Private room,1,1.0,1.0,1.0,75,1,1,80.0,f,1
t,Yarra,Australia,-37.80663354,144.9858749,Entire home/apt,2,1.0,0.0,1.0,125,3,20,96.0,f,1
t,Melbourne,Australia,-37.82938469,144.9712908,Entire home/apt,4,2.0,2.0,2.0,120,2,23,100.0,t,2
f,Whitehorse,Australia,-37.81396525,145.1248644,Private room,2,1.0,1.0,1.0,50,1,16,91.0,t,31
f,Wyndham,Australia,-37.8888294,144.644445,Private room,4,1.0,2.0,2.0,80,1,5,100.0,f,2
t,Monash,Australia,-37.88000289,145.1510674,Entire home/apt,11,2.0,5.0,8.0,264,3,43,99.0,t,1
f,Glen Eira,Australia,-37.87001982,145.0068161,Entire home/apt,2,1.0,1.0,1.0,87,1,1,100.0,f,1
f,Melbourne,Australia,-37.81978506,144.9416225,Entire home/apt,4,1.0,1.0,2.0,114,2,3,87.0,f,2
t,Port Phillip,Australia,-37.86015808,144.9843474,Private room,1,1.0,1.0,1.0,46,1,31,99.0,f,1
f,Melbourne,Australia,-37.8242856,144.9620126,Private room,2,1.0,1.0,1.0,46,20,1,100.0,f,1
f,Glen Eira,Australia,-37.88178969,145.0097629,Entire home/apt,8,2.5,4.0,6.0,390,4,5,92.0,f,1
f,Stonnington,Australia,-37.87836557,145.0857338,Private room,2,1.0,1.0,1.0,40,3,3,100.0,f,1
f,Melbourne,Australia,-37.82192819,144.93675,Entire home/apt,3,1.0,1.0,1.0,118,1,7,86.0,t,15
t,Yarra,Australia,-37.78910628,144.9785303,Entire home/apt,4,1.0,2.0,2.0,165,4,8,100.0,t,2
f,Yarra,Australia,-37.80004798,144.9858514,Entire home/apt,4,1.0,2.0,2.0,145,1,190,96.0,t,1
t,Stonnington,Australia,-37.8367604,144.9918002,Entire home/apt,3,1.0,1.0,1.0,75,1,137,99.0,f,1
t,Yarra,Australia,-37.80516134,144.9820637,Private room,2,0.0,1.0,2.0,80,2,106,96.0,f,1
f,Port Phillip,Australia,-37.86099842,144.9787406,Private room,1,1.0,1.0,1.0,30,3,3,100.0,t,1
f,Melbourne,Australia,-37.82260716,144.9618873,Entire home/apt,6,2.0,2.0,0.0,194,3,26,92.0,t,87
t,Melbourne,Australia,-37.82696643,144.9555798,Entire home/apt,4,1.0,1.0,2.0,90,1,3,100.0,t,7
f,Stonnington,Australia,-37.8611373,145.0196423,Entire home/apt,2,1.0,1.0,1.0,150,2,5,95.0,t,1
t,Melbourne,Australia,-37.82814426,144.9579573,Private room,1,1.0,1.0,1.0,71,2,31,95.0,f,3
f,Port Phillip,Australia,-37.86114796,144.9780139,Entire home/apt,6,2.5,2.0,2.0,500,3,14,98.0,f,1
f,Darebin,Australia,-37.77703131,145.0168326,Entire home/apt,10,2.5,5.0,6.0,320,2,2,100.0,f,1
t,Melbourne,Australia,-37.80769977,144.9615696,Entire home/apt,4,1.0,2.0,2.0,599,1,1,100.0,t,38
f,Kingston,Australia,-37.97419431,145.0635822,Private room,2,1.5,1.0,2.0,47,1,3,40.0,f,1
f,Monash,Australia,-37.89567831,145.1768818,Private room,2,2.0,1.0,2.0,125,1,1,100.0,f,1
f,Yarra,Australia,-37.78197664,144.9755854,Private room,2,1.0,1.0,2.0,48,1,46,93.0,t,3
f,Melbourne,Australia,-37.81662024,144.9519618,Entire home/apt,2,1.0,1.0,1.0,180,5,2,100.0,f,1
t,Whitehorse,Australia,-37.80643953,145.13149,Private room,2,1.0,1.0,1.0,46,3,31,94.0,t,3
f,Melbourne,Australia,-37.81507208,144.9528476,Entire home/apt,5,1.0,0.0,4.0,100,1,5,84.0,t,7
f,Port Phillip,Australia,-37.85362386,144.9828748,Private room,2,1.0,1.0,1.0,60,2,3,100.0,t,1
f,Whitehorse,Australia,-37.81710046,145.1171181,Entire home/apt,4,1.0,1.0,2.0,109,1,18,82.0,t,36
f,Stonnington,Australia,-37.8399292,144.9875405,Entire home/apt,5,1.0,2.0,2.0,199,2,7,90.0,f,1
f,Melbourne,Australia,-37.82162907,144.9631622,Entire home/apt,5,2.0,2.0,4.0,400,3,16,99.0,f,1
f,Yarra,Australia,-37.81269671,145.0100234,Entire home/apt,8,1.0,3.0,3.0,245,2,24,83.0,t,1
f,Stonnington,Australia,-37.85076437,144.9951378,Entire home/apt,2,1.0,1.0,1.0,89,4,58,94.0,f,1
f,Melbourne,Australia,-37.80977399,144.9600924,Private room,2,1.0,1.0,1.0,80,14,6,100.0,f,1
f,Yarra,Australia,-37.82815614,145.0011856,Private room,4,1.0,1.0,3.0,90,1,5,100.0,f,1
f,Hobsons Bay,Australia,-37.86358893,144.885754,Private room,2,1.0,1.0,1.0,90,3,9,93.0,t,1
f,Moreland,Australia,-37.77603865,144.9676748,Entire home/apt,2,1.0,1.0,1.0,100,3,4,100.0,t,1
t,Yarra,Australia,-37.82956859,144.998382,Private room,2,1.0,1.0,1.0,80,1,60,98.0,f,2
f,Port Phillip,Australia,-37.85820251,144.9834053,Entire home/apt,8,1.0,3.0,4.0,195,1,4,90.0,t,5
t,Moreland,Australia,-37.75951293,144.9585796,Private room,1,1.0,1.0,1.0,58,1,147,98.0,f,2
t,Melbourne,Australia,-37.80356392,144.9538776,Entire home/apt,4,2.5,2.0,2.0,179,3,19,100.0,t,3
f,Moreland,Australia,-37.76999017,144.9752614,Private room,2,1.0,1.0,1.0,80,2,26,100.0,f,1
f,Port Phillip,Australia,-37.87053054,144.9869021,Entire home/apt,2,1.0,1.0,1.0,120,2,16,97.0,f,1
f,Kingston,Australia,-37.9714981,145.0580954,Entire home/apt,8,2.5,4.0,5.0,350,7,1,100.0,f,1
f,Melbourne,Australia,-37.80512686,144.9572032,Private room,2,2.0,1.0,1.0,80,2,4,90.0,t,6
f,Kingston,Australia,-38.01027816,145.0911977,Entire home/apt,6,3.5,3.0,4.0,199,2,20,98.0,f,1
f,Yarra,Australia,-37.80321236,144.9980466,Entire home/apt,1,1.0,1.0,1.0,71,30,1,100.0,t,1
t,Port Phillip,Australia,-37.83095109,144.9686642,Private room,2,1.0,1.0,1.0,145,1,37,96.0,f,1
f,Port Phillip,Australia,-37.86485404,144.974556,Entire home/apt,2,1.0,1.0,1.0,140,2,12,95.0,f,11
f,Yarra Ranges,Australia,-37.74765468,145.6571127,Entire home/apt,4,2.0,2.0,2.0,210,1,59,98.0,f,1
t,Melbourne,Australia,-37.81981931,144.9418235,Private room,2,1.0,1.0,1.0,60,3,17,98.0,t,1
t,Moreland,Australia,-37.77593462,144.9692759,Entire home/apt,2,1.0,1.0,1.0,89,3,255,97.0,t,1
f,Greater Dandenong,Australia,-37.99796823,145.1497975,Private room,3,1.0,1.0,2.0,50,2,4,90.0,t,5
f,Wyndham,Australia,-37.90316524,144.7774252,Entire home/apt,10,4.5,4.0,4.0,295,2,8,97.0,t,1
f,Melbourne,Australia,-37.81406186,144.9532195,Entire home/apt,6,2.0,3.0,3.0,262,1,87,96.0,t,29
f,Melbourne,Australia,-37.82917052,144.9673523,Entire home/apt,4,1.0,1.0,1.0,140,1,129,95.0,t,9
f,Monash,Australia,-37.86427456,145.1709234,Private room,4,1.0,1.0,1.0,50,2,4,100.0,f,2
t,Moreland,Australia,-37.77084146,144.9529227,Private room,2,1.0,1.0,1.0,43,1,57,98.0,f,1
f,Moreland,Australia,-37.76486959,144.9690588,Private room,1,4.0,1.0,1.0,50,7,2,90.0,f,89
f,Yarra,Australia,-37.81229833,145.0010299,Entire home/apt,6,2.0,2.0,3.0,251,2,1,100.0,f,1
f,Melbourne,Australia,-37.81967242,144.9607806,Entire home/apt,4,1.0,1.0,2.0,100,7,8,90.0,f,20
t,Melbourne,Australia,-37.81163733,144.9632262,Entire home/apt,4,2.5,2.0,2.0,150,2,46,88.0,t,20
f,Boroondara,Australia,-37.80225742,145.0612469,Private room,2,1.0,1.0,2.0,60,2,1,100.0,f,1
t,Melbourne,Australia,-37.82117499,144.9629347,Private room,2,1.0,1.0,1.0,89,1,239,97.0,t,3
t,Yarra,Australia,-37.82101404,145.0014239,Entire home/apt,5,2.0,2.0,2.0,399,5,23,100.0,f,2
f,Kingston,Australia,-37.99106955,145.0764292,Entire home/apt,4,1.0,1.0,2.0,90,2,68,96.0,f,2
t,Yarra Ranges,Australia,-37.65607767,145.5136003,Entire home/apt,10,2.0,4.0,6.0,419,1,131,97.0,t,1
f,Moreland,Australia,-37.75967633,144.9428943,Entire home/apt,2,1.0,1.0,1.0,125,2,7,90.0,f,2
t,Stonnington,Australia,-37.83754669,144.9968379,Private room,1,1.0,0.0,1.0,55,1,10,96.0,t,1
t,Melbourne,Australia,-37.80873928,144.952691,Entire home/apt,2,1.0,0.0,1.0,79,1,16,88.0,t,3
f,Whitehorse,Australia,-37.85637505,145.1793105,Private room,2,1.0,1.0,1.0,46,1,2,100.0,t,4
t,Melbourne,Australia,-37.83498764,144.9753107,Private room,2,1.0,1.0,1.0,69,1,121,97.0,t,1
t,Yarra Ranges,Australia,-37.74792432,145.3671013,Entire home/apt,4,1.0,2.0,2.0,150,2,34,99.0,t,3
f,Port Phillip,Australia,-37.85629352,144.9738186,Entire home/apt,2,1.5,1.0,1.0,87,2,3,100.0,f,1
f,Boroondara,Australia,-37.79963565,145.0614476,Entire home/apt,6,2.0,3.0,3.0,180,2,16,96.0,f,1
f,Glen Eira,Australia,-37.9232633,145.0270109,Entire home/apt,7,2.5,4.0,5.0,245,2,6,97.0,t,1
t,Port Phillip,Australia,-37.85722362,144.9738816,Entire home/apt,10,3.0,4.0,7.0,599,3,43,95.0,f,1
f,Melbourne,Australia,-37.81047148,144.9600118,Entire home/apt,4,1.0,1.0,1.0,130,1,2,80.0,t,27
f,Stonnington,Australia,-37.84877519,144.9912807,Entire home/apt,4,1.0,2.0,2.0,169,2,83,97.0,t,1
f,Melbourne,Australia,-37.8077268,144.952427,Entire home/apt,5,1.0,2.0,3.0,109,2,53,95.0,t,1
f,Glen Eira,Australia,-37.90651966,145.0443363,Private room,5,2.0,2.0,3.0,170,2,7,80.0,f,2
f,Port Phillip,Australia,-37.8635135,144.9771944,Private room,2,1.0,1.0,2.0,84,2,1,80.0,f,1
f,Melbourne,Australia,-37.8185633,144.9468903,Private room,2,1.0,1.0,2.0,84,1,1,60.0,f,2
t,Yarra Ranges,Australia,-37.6547917,145.5182694,Entire home/apt,9,2.0,4.0,6.0,475,1,34,99.0,t,2
f,Stonnington,Australia,-37.87571575,145.045891,Entire home/apt,2,1.0,1.0,1.0,89,1,1,100.0,t,3
f,Darebin,Australia,-37.7791337,145.0311699,Private room,3,2.0,1.0,2.0,47,2,68,95.0,t,1
t,Yarra,Australia,-37.78660477,145.0000184,Entire home/apt,4,2.0,2.0,3.0,325,5,3,100.0,f,2
f,Stonnington,Australia,-37.83612974,144.9954574,Entire home/apt,5,2.0,2.0,3.0,199,900,57,93.0,t,30
f,Banyule,Australia,-37.78306675,145.0400483,Entire home/apt,4,2.0,2.0,2.0,105,2,13,100.0,f,2
f,Melbourne,Australia,-37.82658198,144.9596184,Entire home/apt,2,1.0,1.0,1.0,150,1,8,73.0,t,36
f,Yarra,Australia,-37.79981284,144.9798734,Entire home/apt,4,1.5,2.0,2.0,136,3,28,94.0,t,1
f,Whitehorse,Australia,-37.81412793,145.1235301,Private room,2,1.0,1.0,1.0,60,1,8,95.0,t,31
f,Port Phillip,Australia,-37.83609046,144.9648302,Entire home/apt,4,1.0,2.0,2.0,115,2,5,100.0,f,1
f,Melbourne,Australia,-37.8100258,144.9610864,Private room,2,1.0,1.0,1.0,90,2,67,85.0,t,3
f,Stonnington,Australia,-37.85409411,144.9973004,Private room,2,1.0,1.0,1.0,55,1,4,100.0,f,1
t,Melbourne,Australia,-37.8163532,144.9769814,Entire home/apt,4,1.0,2.0,2.0,325,5,4,100.0,t,55
f,Monash,Australia,-37.89998047,145.0920228,Private room,1,1.0,1.0,1.0,35,1,7,87.0,t,1
f,Melbourne,Australia,-37.80790805,144.9515795,Private room,1,1.0,1.0,1.0,80,3,1,100.0,t,1
t,Stonnington,Australia,-37.84811698,144.994597,Entire home/apt,5,1.0,1.0,1.0,140,1,37,98.0,t,1
t,Monash,Australia,-37.899601,145.1144745,Entire home/apt,2,1.0,1.0,1.0,98,2,168,97.0,t,1
f,Melbourne,Australia,-37.79395742,144.9654926,Entire home/apt,4,1.5,2.0,3.0,140,2,1,100.0,t,1
t,Port Phillip,Australia,-37.8843748,144.9863759,Entire home/apt,3,1.0,1.0,2.0,109,2,11,98.0,f,1
f,Moonee Valley,Australia,-37.75620249,144.8968209,Private room,1,1.0,0.0,1.0,75,1,3,100.0,t,2
f,Port Phillip,Australia,-37.84007961,144.9459035,Entire home/apt,5,2.5,3.0,4.0,260,3,4,100.0,f,2
f,Melbourne,Australia,-37.81776349,144.9542706,Entire home/apt,2,1.0,0.0,1.0,90,2,60,95.0,t,30
f,Melbourne,Australia,-37.8148327,144.9534608,Entire home/apt,2,1.0,0.0,1.0,109,1,18,94.0,f,7
f,Moreland,Australia,-37.7468511,144.9679869,Private room,2,1.0,1.0,1.0,48,2,17,99.0,f,1
f,Monash,Australia,-37.86843065,145.1136713,Private room,2,1.5,1.0,1.0,33,1,19,96.0,t,6
f,Port Phillip,Australia,-37.83427533,144.9703514,Entire home/apt,4,1.0,2.0,2.0,226,4,53,94.0,t,1
f,Whitehorse,Australia,-37.80598209,145.1285856,Private room,2,1.0,1.0,1.0,50,1,4,100.0,t,1
f,Bayside,Australia,-37.95007737,145.0156853,Entire home/apt,4,1.5,2.0,0.0,180,2,6,100.0,t,1
f,Glen Eira,Australia,-37.92067848,145.0606777,Private room,1,1.0,1.0,1.0,69,1,2,100.0,t,1
f,Melbourne,Australia,-37.80379508,144.9623667,Entire home/apt,2,1.0,0.0,1.0,138,2,20,84.0,f,14
f,Yarra Ranges,Australia,-37.91053032,145.3750237,Entire home/apt,4,2.0,2.0,2.0,150,2,4,90.0,t,2
f,Melbourne,Australia,-37.80080051,144.954327,Shared room,1,1.0,1.0,1.0,19,1,1,80.0,f,1
f,Melbourne,Australia,-37.82710611,144.9602908,Entire home/apt,6,2.0,2.0,2.0,270,10,3,100.0,f,2
f,Yarra,Australia,-37.81571558,145.0038538,Entire home/apt,2,1.0,1.0,1.0,105,2,7,100.0,f,1
f,Melbourne,Australia,-37.81562088,144.9838395,Entire home/apt,2,1.0,1.0,1.0,130,7,2,100.0,f,1
f,Melbourne,Australia,-37.81146531,144.9526847,Private room,2,1.0,1.0,1.0,75,2,3,87.0,f,1
f,Hobsons Bay,Australia,-37.84324856,144.8840315,Private room,2,1.0,1.0,1.0,80,2,8,97.0,f,1
f,Melbourne,Australia,-37.81837588,144.9545271,Entire home/apt,4,1.0,1.0,2.0,119,3,8,93.0,f,5
f,Melbourne,Australia,-37.81555216,144.9531191,Entire home/apt,4,1.0,1.0,2.0,148,1,1,100.0,t,22
f,Monash,Australia,-37.92479369,145.1136854,Private room,2,1.0,1.0,1.0,57,1,3,100.0,f,1
t,Melbourne,Australia,-37.81722868,144.962151,Entire home/apt,6,1.0,2.0,2.0,159,2,49,96.0,f,1
t,Melbourne,Australia,-37.81597919,144.9521967,Entire home/apt,2,1.0,0.0,1.0,118,1,14,99.0,t,35
f,Stonnington,Australia,-37.84986443,144.9943516,Entire home/apt,4,1.5,1.0,2.0,98,1,15,91.0,f,1
f,Melbourne,Australia,-37.80808255,144.9609721,Entire home/apt,3,1.0,1.0,2.0,118,1,2,80.0,t,15
t,Stonnington,Australia,-37.84500235,144.996543,Entire home/apt,2,1.0,1.0,1.0,140,3,33,99.0,f,10
t,Stonnington,Australia,-37.84738715,144.9996739,Entire home/apt,2,1.0,1.0,1.0,112,2,53,94.0,f,2
f,Port Phillip,Australia,-37.87808977,144.9797089,Entire home/apt,4,1.0,2.0,2.0,136,2,9,98.0,f,1
f,Melbourne,Australia,-37.8090932,144.9605104,Entire home/apt,6,1.0,2.0,5.0,150,1,19,97.0,t,12
t,Moreland,Australia,-37.77401479,144.9587017,Private room,2,1.0,1.0,1.0,61,2,59,98.0,f,1
f,Port Phillip,Australia,-37.85675224,144.9842288,Entire home/apt,2,1.0,1.0,1.0,96,2,4,90.0,f,1
t,Melbourne,Australia,-37.81163161,144.960318,Entire home/apt,4,1.0,1.0,2.0,120,2,54,96.0,t,34
f,Wyndham,Australia,-37.8896013,144.608645,Private room,2,1.0,1.0,1.0,100,1,1,80.0,t,4
t,Yarra,Australia,-37.80953605,145.0073285,Private room,2,1.0,1.0,1.0,43,1,54,97.0,f,1
f,Glen Eira,Australia,-37.88985578,145.0612452,Entire home/apt,4,2.0,2.0,2.0,125,3,1,100.0,f,1
t,Melbourne,Australia,-37.81481956,144.9734568,Entire home/apt,4,2.0,2.0,2.0,300,2,17,98.0,f,1
f,Melbourne,Australia,-37.80198036,144.9579525,Entire home/apt,3,1.0,2.0,2.0,105,3,12,90.0,f,1
f,Port Phillip,Australia,-37.84112799,144.9380466,Entire home/apt,4,2.0,2.0,3.0,165,7,4,100.0,f,17
t,Maroondah,Australia,-37.81693166,145.2246107,Entire home/apt,4,1.5,2.0,3.0,96,2,39,96.0,f,2
f,Kingston,Australia,-37.97844018,145.0677198,Entire home/apt,9,2.0,4.0,4.0,300,2,3,90.0,f,1
f,Wyndham,Australia,-37.86916427,144.6757043,Private room,8,2.5,5.0,5.0,75,3,8,95.0,t,1
f,Port Phillip,Australia,-37.8718622,144.997276,Entire home/apt,6,1.5,2.0,5.0,251,2,6,87.0,f,33
f,Melbourne,Australia,-37.81050996,144.9687092,Private room,2,1.0,1.0,1.0,75,2,13,96.0,f,1
t,Glen Eira,Australia,-37.9218928,145.032335,Entire home/apt,4,1.0,2.0,3.0,168,2,29,98.0,f,2
f,Maribyrnong,Australia,-37.81931511,144.8858864,Shared room,1,1.0,1.0,1.0,25,3,2,100.0,t,1
f,Knox,Australia,-37.86856253,145.2774807,Private room,2,1.0,1.0,1.0,84,1,1,100.0,t,1
f,Port Phillip,Australia,-37.8305109,144.951108,Entire home/apt,3,1.0,1.0,2.0,132,2,12,88.0,f,2
f,Yarra,Australia,-37.81965375,145.0137253,Private room,2,1.0,1.0,1.0,89,1,2,100.0,f,1
f,Port Phillip,Australia,-37.8635449,144.9749495,Entire home/apt,2,1.0,1.0,1.0,140,2,191,90.0,f,14
f,Melbourne,Australia,-37.81986664,144.9555414,Entire home/apt,12,2.0,4.0,6.0,278,2,14,97.0,t,58
f,Whitehorse,Australia,-37.82339114,145.1938334,Entire home/apt,2,1.0,0.0,1.0,71,1,11,91.0,t,3
f,Yarra,Australia,-37.79795937,144.9763309,Private room,2,1.0,1.0,1.0,62,14,2,90.0,f,1
f,Bayside,Australia,-37.93174892,144.9957933,Private room,2,1.0,1.0,2.0,100,1,3,100.0,f,1
f,Port Phillip,Australia,-37.8660135,144.9871556,Entire home/apt,2,1.5,1.0,1.0,195,20,1,100.0,f,1
t,Moreland,Australia,-37.77440054,144.9755561,Entire home/apt,4,1.0,2.0,3.0,169,1,142,95.0,t,1
f,Port Phillip,Australia,-37.87540822,144.9888607,Entire home/apt,6,1.0,3.0,6.0,300,2,21,98.0,t,1
t,Darebin,Australia,-37.74028719,145.0110901,Private room,2,3.0,1.0,1.0,40,1,5,92.0,f,1
f,Port Phillip,Australia,-37.8838801,144.9807192,Entire home/apt,5,2.0,3.0,4.0,220,2,6,97.0,f,1
t,Melbourne,Australia,-37.81696556,144.953956,Entire home/apt,4,1.0,1.0,2.0,138,1,36,94.0,t,35
f,Whitehorse,Australia,-37.81432139,145.1172948,Entire home/apt,4,1.0,2.0,2.0,166,1,17,93.0,t,38
f,Whitehorse,Australia,-37.81017026,145.1180736,Private room,6,1.0,1.0,6.0,98,1,1,100.0,t,2
t,Monash,Australia,-37.90191846,145.1558073,Private room,1,1.0,1.0,1.0,71,1,69,98.0,f,3
f,Melbourne,Australia,-37.82984105,144.9687406,Entire home/apt,4,1.0,2.0,2.0,120,2,2,80.0,f,1
f,Kingston,Australia,-37.96170197,145.0578165,Private room,3,1.0,1.0,2.0,89,1,1,20.0,t,50
f,Stonnington,Australia,-37.86388987,145.0284128,Entire home/apt,4,1.0,2.0,2.0,140,3,12,95.0,f,1
f,Melbourne,Australia,-37.81659812,144.9540072,Private room,2,1.0,1.0,1.0,58,1,3,93.0,t,11
f,Kingston,Australia,-37.96585696,145.055909,Private room,2,1.0,1.0,1.0,65,1,5,100.0,f,1
f,Port Phillip,Australia,-37.8744586,144.9905753,Private room,2,1.0,1.0,1.0,60,1,7,94.0,t,1
t,Melbourne,Australia,-37.81598832,144.9525829,Entire home/apt,4,1.0,1.0,1.0,120,1,13,89.0,t,41
f,Whittlesea,Australia,-37.68310861,145.0728595,Private room,1,1.0,1.0,1.0,50,7,1,100.0,f,1
f,Yarra Ranges,Australia,-37.78783638,145.3797131,Private room,2,1.5,1.0,1.0,60,1,76,92.0,f,1
f,Melbourne,Australia,-37.81640872,144.9666929,Entire home/apt,4,1.0,2.0,2.0,188,2,1,80.0,f,8
f,Stonnington,Australia,-37.83628244,144.9962881,Entire home/apt,2,1.0,1.0,1.0,120,2,3,87.0,t,62
f,Melbourne,Australia,-37.8285348,144.9683138,Private room,2,1.0,1.0,1.0,50,7,3,80.0,t,1
f,Stonnington,Australia,-37.8348902,144.9934622,Entire home/apt,2,1.0,1.0,1.0,90,2,4,100.0,f,1
t,Melbourne,Australia,-37.80332706,144.9562623,Entire home/apt,2,1.0,0.0,1.0,119,1,35,90.0,t,4
t,Melbourne,Australia,-37.81597635,144.9535011,Entire home/apt,6,1.0,2.0,4.0,127,1,11,96.0,t,13
f,Port Phillip,Australia,-37.84211927,144.9765418,Private room,2,1.0,1.0,1.0,100,1,3,93.0,f,1
f,Glen Eira,Australia,-37.8843887,145.0034776,Private room,1,1.0,1.0,1.0,40,1,8,98.0,f,1
f,Whitehorse,Australia,-37.81805732,145.1408242,Entire home/apt,12,6.0,5.0,8.0,198,1,1,100.0,f,3
t,Melbourne,Australia,-37.81362812,144.9463468,Entire home/apt,4,1.0,2.0,2.0,138,2,16,93.0,t,5
t,Melbourne,Australia,-37.80044648,144.9654718,Shared room,2,1.5,1.0,1.0,30,3,18,91.0,f,3
t,Port Phillip,Australia,-37.87603947,144.9800032,Private room,2,2.5,1.0,1.0,100,1,10,90.0,f,8
f,Bayside,Australia,-37.97398177,145.0528632,Entire home/apt,2,1.0,1.0,1.0,65,2,29,95.0,f,1
t,Melbourne,Australia,-37.81074724,144.9514471,Entire home/apt,5,2.0,2.0,3.0,161,1,17,99.0,t,2
f,Yarra,Australia,-37.83282675,144.9928867,Entire home/apt,4,1.0,2.0,2.0,120,2,2,90.0,f,1
f,Yarra,Australia,-37.8183393,144.9990544,Private room,2,1.0,1.0,1.0,50,7,16,91.0,f,1
f,Glen Eira,Australia,-37.88648529,145.0216701,Private room,2,1.0,1.0,1.0,46,1,6,92.0,t,1
t,Melbourne,Australia,-37.81688038,144.9656468,Entire home/apt,6,1.0,2.0,0.0,150,1,37,98.0,t,3
f,Moonee Valley,Australia,-37.7840272,144.9387911,Entire home/apt,5,1.0,2.0,3.0,116,2,31,99.0,t,2
