host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
f,Yarra,Australia,-37.81727383,144.9982505,Private room,3,2.0,1.0,1.0,89,1,7,80.0,t,2
f,Port Phillip,Australia,-37.86587325,144.9892902,Entire home/apt,3,1.0,2.0,2.0,80,3,8,98.0,f,1
f,Whitehorse,Australia,-37.85613745,145.1793143,Private room,2,1.0,1.0,1.0,108,2,2,90.0,f,2
f,Hume,Australia,-37.67761459,144.8975661,Private room,4,1.0,1.0,2.0,71,1,92,93.0,f,7
f,Stonnington,Australia,-37.89100814,145.0871977,Entire home/apt,6,1.0,2.0,3.0,190,1,8,78.0,t,38
f,Banyule,Australia,-37.72531036,145.1130645,Entire home/apt,6,1.0,3.0,4.0,180,3,9,91.0,t,1
f,Yarra,Australia,-37.79979362,144.9943504,Private room,3,1.5,1.0,3.0,58,1,2,70.0,t,1
f,Moreland,Australia,-37.77847903,144.9679611,Entire home/apt,6,2.5,3.0,4.0,300,3,22,99.0,f,1
f,Port Phillip,Australia,-37.87359978,144.9808731,Entire home/apt,6,2.0,3.0,3.0,190,1,11,95.0,t,2
t,Moreland,Australia,-37.77402712,144.9546177,Private room,2,1.0,1.0,1.0,46,3,34,99.0,f,1
t,Melbourne,Australia,-37.80994847,144.9692837,Entire home/apt,2,1.0,1.0,1.0,96,1,89,96.0,f,1
f,Port Phillip,Australia,-37.85836781,144.9779185,Entire home/apt,3,1.0,2.0,2.0,100,2,3,100.0,f,1
t,Melbourne,Australia,-37.81428575,144.9533053,Entire home/apt,6,1.0,2.0,3.0,188,1,14,97.0,t,35
f,Yarra,Australia,-37.79935405,144.9781754,Entire home/apt,2,1.0,1.0,1.0,109,10,4,90.0,f,1
t,Port Phillip,Australia,-37.84413534,144.939126,Entire home/apt,5,2.0,2.0,3.0,325,5,2,100.0,t,55
f,Bayside,Australia,-37.93542932,145.0037053,Entire home/apt,6,2.0,3.0,3.0,199,3,6,97.0,f,1
